wavelength_um,n,k
0.35,1.355593479,0.002189831
0.462,1.346782466,0.001618985
0.644,1.34129125,0.001142969
1.512,1.335111195,0.000458395
1.526,1.334572923,0.000223265
1.54,1.334034652,1.4e-05
1.722,1.327037124,1.4e-05
1.736,1.326498852,2.1e-05
1.806,1.323807496,2.1e-05
2.688,1.313456604,7e-05
3.402,1.301133278,0.00014
4.382,1.276149868,0.000329
4.886,1.258120451,0.000485336
5.404,1.234146551,0.000716653
5.908,1.203113409,0.00104891
6.272,1.173607462,0.001408453
6.622,1.136595133,0.001934442
6.832,1.108498126,0.002426188
7.042,1.073781995,0.00319785
7.266,1.025758958,0.004801162
7.42,0.983163767,0.007191536
7.588,0.921724553,0.013720894
7.756,0.83563241,0.035429865
7.938,0.72202539,0.129413529
8.078,0.682556874,0.273435572
8.246,0.693262882,0.430887406
8.4,0.720537976,0.523236738
8.554,0.723970306,0.602730841
8.778,0.679000896,0.801435468
8.862,0.672536679,0.937657087
8.974,0.711461904,1.177497297
9.296,0.711461904,1.614668265
9.618,0.711461904,1.159149171
9.982,0.711461904,0.398433759
10.458,0.711461904,0.05571432
10.78,0.711461904,0.030029757
12.376,0.711461904,0.152211943
13.09,0.711461904,0.133317448
13.986,0.711461904,0.065860293
