wavelength_um,n,k
0.21,1.831,0
0.24,1.793,0
0.25,1.789,0
0.26,1.779,0
0.3,1.762,0
0.42,1.754,0
0.73,1.75,0
1.39,1.749,0
1.78,1.744,0
1.86,1.739,0
1.96,1.741,0
2.14,1.735,0
2.46,1.732,0
2.7248,1.722,0
3.0211,1.717,0
3.4722,1.701,0
3.4843,1.701,2.72e-09
3.4965,1.7,1.43e-08
3.5211,1.7,1.57e-08
3.5587,1.699,4.2e-08
3.6364,1.695,1.27e-07
3.7879,1.687,3.96e-07
4.5662,1.649,8.54e-06
5.2356,1.616,4.29e-05
5.988,1.56,0.000106
6.7114,1.497,0.000137
7.1942,1.447,0.000156
7.7519,1.38,0.000184
7.8125,1.371,0.000188
7.9365,1.345,0.000198
8,1.345,0.0002
8.0645,1.336,0.000204
8.1301,1.321,0.000211
8.2645,1.301,0.000221
8.3333,1.294,0.000226
8.4034,1.276,0.000235
8.4746,1.265,0.000241
8.547,1.243,0.000253
8.7719,1.218,0.000273
8.9286,1.173,0.000306
9.1743,1.136,0.000345
9.2593,1.113,0.000371
9.3458,1.079,0.000419
9.434,1.05,0.000471
9.6154,1.014,0.000556
9.7087,0.99,0.000567
9.8039,0.961,0.000519
10,0.89,0.000393
