wavelength_um,n,k
0.2,1.42981964,9.8446e-09
0.213,1.422691306,1.05656e-09
0.215,1.421736431,6.18657e-10
0.217,1.420814231,2.00448e-10
0.218,1.420364896,1e-08
0.268,1.404862783,1e-08
0.338,1.39462102,1e-08
0.438,1.38797618,1e-08
0.587,1.38366017,1e-08
2.998493095,1.36530381,1e-08
3.018284682,1.365110151,3.54645e-08
3.038327382,1.364912689,1e-08
3.237885267,1.362871991,1e-08
3.257964931,1.362659066,3.51826e-08
3.278022266,1.362444978,1e-08
3.377703426,1.361360139,1e-08
3.397889665,1.361136197,2.50371e-07
3.417786851,1.360914051,5.80667e-07
3.437660612,1.360690767,9.1186e-08
3.457775322,1.360463346,5.07952e-08
3.477601507,1.360237778,1e-08
3.677399969,1.357885729,1e-08
3.69721336,1.357644587,2.25512e-07
3.717260917,1.357399131,1e-08
3.757275322,1.35690479,1e-08
3.777241881,1.356655913,1.72485e-07
3.797181152,1.356405905,1e-08
4.036815116,1.353284925,1e-08
4.056636747,1.353017042,4.13519e-08
4.076681848,1.352744611,1e-08
4.116678894,1.352196406,1e-08
4.136630535,1.351920643,3.19646e-08
4.156550719,1.351643782,1e-08
4.176439295,1.351365826,1e-08
4.196547259,1.351083244,5.43003e-08
4.21637176,1.350803104,1e-08
4.256424261,1.350232442,1e-08
4.276400801,1.349945471,3.99519e-07
4.296343992,1.349657414,1.16396e-08
4.31625368,1.349368278,1.15118e-07
4.336377946,1.349074435,1e-08
4.356219737,1.348783146,1e-08
4.37627494,1.348487135,4.2575e-08
4.396048207,1.348193719,1e-08
4.456144295,1.34729236,1e-08
4.476022972,1.346991017,5.73842e-08
4.496110616,1.346684887,1.34943e-07
4.515917123,1.346381446,8.89779e-08
4.535931382,1.346073207,1e-08
4.63568352,1.34451258,1e-08
4.655712975,1.344194298,3.90624e-08
4.67570335,1.343874987,5.9318e-08
4.695654477,1.343554655,1.82238e-07
4.715566188,1.34323331,1e-08
4.79552873,1.34192618,1e-08
4.815476638,1.341595918,8.04841e-08
4.835383144,1.34126467,1e-08
4.855484315,1.340928482,1e-08
4.875307008,1.340595276,2.04026e-07
4.895323018,1.340257125,1.36779e-07
4.915295932,1.339918,1.71301e-07
4.935225575,1.339577912,3.80435e-07
4.955345467,1.33923285,4.80854e-08
4.975187526,1.33889085,1e-08
5.194915075,1.334989134,1e-08
5.214512117,1.334630824,5.40925e-08
5.234858346,1.334257005,1e-08
5.274783699,1.333518077,1e-08
5.294363129,1.333153089,8.67168e-08
5.314690999,1.332772321,1e-08
5.374893937,1.331633654,1e-08
5.39445089,1.331260205,5.17365e-07
5.41475533,1.330870632,2.22123e-07
5.45459819,1.330100677,3.28022e-07
5.514702955,1.328925281,1.78533e-07
5.534227766,1.328539843,2.49832e-07
5.554498707,1.32813779,7.52237e-07
5.614531718,1.326935777,6.32557e-07
5.634033042,1.32654165,8.3412e-07
5.654279505,1.326130553,1e-08
5.673771353,1.325732936,1.09552e-06
5.69400794,1.325318206,7.09383e-07
5.714239469,1.324901619,1.20277e-06
5.733716886,1.324498702,1.144e-06
5.753938434,1.324078457,2.14748e-06
5.774154872,1.323656342,1.34588e-06
5.853473346,1.32198098,1.90234e-06
5.873664345,1.321549587,3.65743e-06
5.914030674,1.320681106,2.06342e-06
6.033510692,1.318062921,3.75685e-06
6.073792906,1.317164004,2.64079e-06
6.133430549,1.315817974,4.92549e-06
6.473179586,1.307795252,8.85542e-06
6.632453246,1.303819752,1.66179e-05
8.089932711,1.260243151,0.000144894
9.248234412,1.214332163,0.000610187
9.367906315,1.20888846,0.000989746
9.747922274,1.190600892,0.000707516
10.00694372,1.177199521,0.000841612
