wavelength_um,n,k
0.05,0.89446,0.1379
0.06,0.95691,0.28943
0.07,1.0834,0.51909
0.08,1.1958,0.71471
0.09,1.2918,0.86839
0.1,1.4438,1.0141
0.11,1.6181,1.0665
0.12,1.8045,1.0864
0.13,2.1175,1.0681
0.14,2.0776,0.87715
0.15,1.867,0.17966
0.16,1.7621,0.0048459
0.17,1.7042,7.79e-05
0.18,1.6637,3.51e-05
0.2,1.6131,2e-05
0.24,1.5673,2.42e-05
0.29,1.5358,3.06e-05
0.3,1.5306,1.13e-05
0.33,1.5175,1.51e-06
0.34,1.5221,5.51e-07
0.36,1.5291,1.71e-07
0.37,1.5317,1.47e-07
0.41,1.5531,8.01e-08
0.43,1.551,8.19e-08
0.47,1.5365,8.13e-08
0.64,1.5178,9.74e-08
0.67,1.5233,1.08e-07
0.69,1.5216,9.37e-08
0.71,1.5319,9.62e-08
0.73,1.5303,1.1e-07
0.76,1.5352,1.13e-07
0.78,1.5438,1.14e-07
0.81,1.5447,9.86e-08
0.85,1.5513,7e-08
0.88,1.5425,4.94e-08
0.92,1.5383,6.3e-08
0.96,1.5275,7.55e-08
1.01,1.5252,6.8e-08
1.11,1.4959,4.87e-08
1.41,1.4767,5.25e-08
1.85,1.4642,2.79e-07
2.29,1.4641,1.22e-06
2.66,1.4439,4.16e-06
2.75,1.439,1.32e-05
2.89,1.4314,2.44e-05
3.2,1.4144,2.4e-05
3.56,1.4201,2.34e-05
4.13,1.3772,0.00010278
4.69,1.3545,0.00041127
4.96,1.343,0.0035515
5.27,1.3335,0.0055571
5.64,1.2963,0.0060586
5.93,1.2766,0.0062915
6.27,1.2404,0.0064826
6.64,1.1844,0.0074221
6.8,1.1036,0.0079878
7.15,1.041,0.012337
7.38,0.95349,0.018112
7.57,0.84918,0.033035
7.73,0.72343,0.063502
7.86,0.64312,0.13715
8.03,0.51584,0.40441
8.15,0.40596,0.50361
8.45,0.40499,0.89073
8.71,0.41114,1.3224
8.95,0.4412,1.9786
8.96,0.44385,2.0079
9.01,0.54347,2.1543
9.02,0.84762,2.1835
9.06,1.0056,2.3007
9.07,1.3814,2.3299
9.17,1.7422,2.6227
9.18,1.7904,2.652
9.21,1.9868,2.6055
9.22,2.1916,2.5875
9.28,2.3337,2.4795
9.29,2.3644,2.4615
9.37,2.6438,2.2697
9.38,2.6637,2.2008
9.48,2.798,1.5116
9.65,2.8762,0.96488
9.66,2.8767,0.95395
9.81,2.8234,0.79007
9.82,2.8084,0.77914
9.88,2.6903,0.71458
9.97,2.5417,0.61874
10.2,2.2599,0.3978
10.44,2.1258,0.28432
10.6,2.0498,0.24833
10.91,1.952,0.2098
11.21,1.8333,0.18938
11.35,1.7227,0.18306
11.36,1.7189,0.18261
11.65,1.6825,0.2356
12.07,1.6637,0.32253
12.58,1.7687,0.36901
12.9,1.8504,0.31694
13.18,1.8815,0.2061
13.42,1.8816,0.17067
13.67,1.8447,0.10655
13.83,1.7517,0.081665
13.84,1.7482,0.080276
13.99,1.769,0.067406
14.16,1.6979,0.05656
14.17,1.6964,0.056015
14.29,1.712,0.049754
14.44,1.635,0.048637
14.45,1.6314,0.048563
14.5,1.6316,0.048228
