wavelength_um,n,k
0.5,2.2588,0.00072269
0.54785,2.2318,0.00080292
0.59121,2.2128,0.0008755
0.64778,2.1933,0.00097023
0.70978,2.1769,0.0010742
0.86521,2.1497,0.0013373
1.0873,2.1279,0.0017229
1.3054,2.1149,0.0021177
1.5672,2.1039,0.0026195
2.8387,2.0635,0.0057425
3.6221,2.0344,0.008549
4.2828,2.0044,0.01172
4.9121,1.9703,0.015678
5.6338,1.9234,0.021766
6.2677,1.8743,0.029003
6.8675,1.8195,0.038153
7.411,1.7615,0.049184
7.8766,1.7041,0.061581
8.3714,1.6337,0.079102
8.7628,1.5694,0.09763
9.1726,1.4922,0.1238
9.6014,1.3976,0.16319
9.8984,1.3225,0.20233
10.205,1.2364,0.25957
10.682,1.0966,0.4089
10.846,1.0575,0.48455
11.012,1.0324,0.57426
11.181,1.0295,0.67319
11.353,1.0553,0.77072
11.527,1.11,0.85129
11.704,1.1833,0.89854
11.884,1.2536,0.90417
12.066,1.2969,0.87668
12.251,1.3014,0.83774
12.439,1.2711,0.8081
12.63,1.2178,0.79921
13.021,1.0856,0.8534
13.221,1.0224,0.9131
13.424,0.96797,0.98995
13.63,0.92521,1.0797
13.839,0.89514,1.1784
14.051,0.87759,1.2828
14.267,0.87176,1.3906
14.486,0.87676,1.5003
14.708,0.89187,1.6113
14.934,0.9167,1.723
15.163,0.95117,1.8352
15.396,0.99553,1.9475
15.632,1.0503,2.0597
15.872,1.1163,2.1712
16.116,1.1947,2.281
16.363,1.2865,2.3879
16.614,1.393,2.4899
16.869,1.5154,2.5844
17.128,1.6545,2.6678
17.391,1.81,2.7358
17.658,1.9805,2.7831
18.204,2.3501,2.7945
18.484,2.5354,2.7508
18.768,2.7087,2.6732
19.056,2.8607,2.5654
19.348,2.984,2.4344
19.645,3.0744,2.2893
19.947,3.1314,2.1394
20.253,3.1573,1.9927
20.564,3.1562,1.8549
20.879,3.1329,1.7299
21.2,3.0921,1.6197
21.525,3.0378,1.5249
21.856,2.9732,1.4455
22.191,2.9009,1.3809
22.532,2.8228,1.3306
24.688,2.2973,1.3113
25.067,2.2098,1.3567
25.452,2.1265,1.4173
25.842,2.05,1.4933
26.239,1.9831,1.5843
26.642,1.9294,1.6888
27.051,1.8919,1.8046
27.466,1.8735,1.9282
27.887,1.8761,2.0552
28.315,1.9007,2.1804
28.75,1.947,2.2979
29.191,2.0126,2.4012
30.556,2.2613,2.5718
31.025,2.3282,2.5792
31.501,2.3711,2.572
31.985,2.3857,2.5621
32.476,2.3738,2.5615
32.974,2.3413,2.5796
33.994,2.2481,2.6913
34.516,2.204,2.7863
35.046,2.1705,2.9044
35.584,2.152,3.0421
36.13,2.1514,3.1956
36.684,2.1706,3.3615
37.248,2.211,3.5367
37.819,2.2735,3.7188
38.4,2.3593,3.9055
38.989,2.4695,4.0944
39.588,2.6058,4.2833
40.195,2.77,4.469
40.812,2.964,4.6479
41.439,3.1895,4.8153
42.075,3.4477,4.9652
42.72,3.7386,5.09
43.376,4.0603,5.1813
44.042,4.408,5.2297
45.404,5.1441,5.1648
46.101,5.5057,5.0424
46.809,5.8419,4.862
47.527,6.1387,4.6322
48.257,6.3857,4.366
48.997,6.5783,4.0783
49.749,6.7169,3.7837
50.513,6.8065,3.4943
51.288,6.8541,3.2186
52.076,6.8676,2.9623
52.875,6.8546,2.728
53.686,6.822,2.5164
54.51,6.7753,2.3269
55.347,6.7188,2.1582
56.197,6.6559,2.0084
58.824,6.4518,1.6546
60.644,6.3158,1.4817
62.52,6.1861,1.347
64.454,6.0647,1.2423
65.443,6.0074,1.1994
67.467,5.8998,1.1296
69.554,5.8014,1.0779
71.706,5.7119,1.0417
73.924,5.6313,1.0189
76.211,5.5596,1.0078
78.568,5.4968,1.007
80.999,5.4434,1.0154
83.504,5.3998,1.0317
86.087,5.3665,1.0546
88.75,5.3442,1.0826
91.495,5.3333,1.114
94.326,5.3341,1.1467
95.773,5.3389,1.1629
98.736,5.3567,1.1935
101.79,5.3849,1.22
106.55,5.443,1.2476
118.54,5.6151,1.2383
124.08,5.6869,1.2037
129.88,5.7499,1.156
135.96,5.8016,1.0998
142.31,5.8419,1.0395
146.71,5.8627,0.99883
151.25,5.8792,0.95869
160.76,5.9013,0.8821
170.85,5.9122,0.81248
181.59,5.9154,0.75079
195.96,5.9124,0.68472
273.97,5.8722,0.50821
323.94,5.8537,0.4678
388.91,5.8386,0.44776
452.9,5.8298,0.4467
543.74,5.8231,0.46198
672.98,5.82,0.50157
1000,5.8268,0.64002
