wavelength_um,n,k
0.120181141,1.126620101,0.898838687
0.125122762,1.11407395,0.967125376
0.128776413,1.114336713,1.032410365
0.131019616,1.121369619,1.077903585
0.132536752,1.1299981,1.110434118
0.134071455,1.142473732,1.144263515
0.13562393,1.159556385,1.178716888
0.138783017,1.207366224,1.242935287
0.142015689,1.267968941,1.298206521
0.145323659,1.338736902,1.34214694
0.153934627,1.533879875,1.390405613
0.156616071,1.590129161,1.388218022
0.159344223,1.642707611,1.379597185
0.162119899,1.690399977,1.36562535
0.164943925,1.73221167,1.347707834
0.166853885,1.756503781,1.334398582
0.169760374,1.787449996,1.313728005
0.173714601,1.819058337,1.28753874
0.177760934,1.841505289,1.266019975
0.181901518,1.857600231,1.25141436
0.197167951,1.904822948,1.261310586
0.202925359,1.930641143,1.283915961
0.207652098,1.95772611,1.306609173
0.213715649,2.000836765,1.338519654
0.218693726,2.043243366,1.365308347
0.225079698,2.106460517,1.39847735
0.230322478,2.165299831,1.42361235
0.237048015,2.249493991,1.452139109
0.242569573,2.326126335,1.471974463
0.248219744,2.412517012,1.488288845
0.254001525,2.511017217,1.499210337
0.25842607,2.594549628,1.501503119
0.262927689,2.687356747,1.495519616
0.267507722,2.789173955,1.477052767
0.276908523,3.007274489,1.383475275
0.280114973,3.077186514,1.33194443
0.283358551,3.141434636,1.270523029
0.284994398,3.170670042,1.236569026
0.288294478,3.222211638,1.163575605
0.28995882,3.244244878,1.125199579
0.293316385,3.280691274,1.046399899
0.295009719,3.2952535,1.006604526
0.29842577,3.31783482,0.927459912
0.303624158,3.338449577,0.811723762
0.30713996,3.345495026,0.7365496
0.310696473,3.347970884,0.662071018
0.316108609,3.341955695,0.550080434
0.319768974,3.329628593,0.475463545
0.323471724,3.309312824,0.402446598
0.32721735,3.280800175,0.33318233
0.332917269,3.224854738,0.240846436
0.350619708,3.020130186,0.068146726
0.35878669,2.935406233,0.032922617
0.365036527,2.878735503,0.017615748
0.369263451,2.844754292,0.011448502
0.377864701,2.786286984,0.004898981
0.384446865,2.749428435,0.002621769
0.391143686,2.717265746,0.001417145
0.404889322,2.663538686,0.000426755
0.421537605,2.613552169,0.000110703
0.44140406,2.567796283,2.53e-05
0.467558895,2.52231598,4.4e-06
0.498122689,2.482777763,7.22e-07
0.533748077,2.448509208,1.15e-07
0.575223107,2.418919896,1.81e-08
0.634360779,2.388712432,1.93e-09
0.707679025,2.363016994,1.16e-10
0.724162987,2.358437951,3.22e-11
0.728343626,2.357331913,1.62e-11
0.732548399,2.356240809,1.77e-12
0.736777447,2.355164372,1e-12
0.812524235,2.338875173,1e-12
0.911667187,2.323633518,1e-12
1.028812716,2.310908378,1e-12
1.356239296,2.289357122,1e-12
3.089130985,2.225477697,1e-12
4.095777196,2.177339631,1e-12
4.143204061,2.174681288,2.92e-12
4.465152783,2.155538411,6.05e-09
4.70258142,2.140076944,3.82e-07
5.009983824,2.118035381,2.06e-05
5.368294386,2.088513479,0.0005025
5.785439064,2.04799271,0.005122517
6.234998074,2.004213732,0.019702252
6.995782901,1.946196404,0.034979193
7.367774473,1.909576499,0.028560423
7.759546207,1.85657248,0.01868495
8.125242354,1.793618041,0.011048672
8.508173228,1.713327302,0.006546507
8.706354042,1.664963266,0.006216482
8.858013211,1.624174381,0.007403264
9.116671866,1.545875136,0.014060228
9.382883491,1.452656473,0.031083941
9.601438924,1.366881906,0.05746172
10.11198283,1.152852627,0.188728798
10.28812716,1.087305407,0.261381456
10.46733982,1.033926137,0.346924304
10.5885459,1.007470267,0.408269348
10.64967424,0.997195143,0.439363879
10.77299166,0.982283767,0.500905236
10.89773702,0.973898197,0.55990343
11.0875687,0.969777517,0.64074151
11.41133155,0.969549431,0.753161207
11.61010971,0.96476023,0.811553477
11.81235046,0.953602724,0.869646257
12.15727732,0.929004835,0.979889177
12.29805196,0.922641595,1.029413262
12.51227623,0.921371771,1.104270576
12.95198473,0.934014645,1.227499565
13.17760009,0.927704175,1.273232008
13.33018951,0.912339069,1.303524298
13.48454583,0.887352294,1.339028515
13.95842199,0.783974068,1.517891689
14.1200529,0.756940786,1.606033125
14.2835554,0.741445934,1.704875231
14.36601527,0.738812061,1.757012598
14.53236588,0.744347356,1.864067726
14.61626215,0.752475804,1.918009093
14.78551049,0.778879616,2.024604997
14.95671863,0.81756727,2.127205973
15.12990927,0.866703001,2.223684893
15.30510536,0.924221845,2.312544259
15.48233013,0.987947866,2.392867901
16.02641275,1.195148666,2.581627286
16.30558271,1.296732178,2.650859329
16.58961562,1.391927881,2.709044766
16.87859621,1.479935831,2.761115328
17.27174922,1.588597979,2.82788199
18.08574169,1.800203834,2.965529144
18.50701273,1.913035718,3.03309097
20.17605828,2.377432024,3.217566464
20.88508868,2.564054983,3.254018692
21.24889369,2.654587532,3.265285523
21.61903595,2.74265984,3.272550716
22.25032319,2.883054536,3.27714223
22.90004436,3.014371286,3.274491293
23.29894862,3.088396108,3.270563844
23.70480154,3.158678067,3.265713005
24.11772416,3.225181968,3.260716626
24.53783962,3.288009929,3.25644331
25.40015247,3.404071576,3.253872952
27.06053158,3.604691661,3.289588751
27.69085233,3.685355578,3.318351337
28.33585514,3.776815875,3.353305033
28.995882,3.882491094,3.390555052
29.67128285,4.004207442,3.424908914
30.01486011,4.071096176,3.43921045
30.53769995,4.178375791,3.455099462
31.24901436,4.332256711,3.462686442
32.91063968,4.700900977,3.407229242
33.48392216,4.822596075,3.364699297
33.8716477,4.901471794,3.329949303
34.46167034,5.014970359,3.268954638
34.86071767,5.08670421,3.22292713
35.26438576,5.15480814,3.173116528
35.6727281,5.218951384,3.120001539
36.29412442,5.3072045,3.035236122
36.71439057,5.360498307,2.976081035
37.13952318,5.409265993,2.915406887
37.78647013,5.47393806,2.822627545
38.22401683,5.51150168,2.760276883
38.88985498,5.559855204,2.667073485
39.5672916,5.599192953,2.575385965
40.25652874,5.630308124,2.486291657
40.95777196,5.654103623,2.400649015
41.91180103,5.676110768,2.292905948
42.88805228,5.689121148,2.193371714
44.14040602,5.696064143,2.081041602
45.95537599,5.695027292,1.945683997
51.56277993,5.678089964,1.668860117
55.89028493,5.67943276,1.532654237
60.58098407,5.692786293,1.417753213
76.70723416,5.754159179,1.133643927
88.58013211,5.787623571,0.986133497
104.6733982,5.81774331,0.83697098
125.1227623,5.841016959,0.701308042
