wavelength_um,n,k
0.389,2.55,1.9e-06
0.394,2.55,1.49e-06
0.405,2.54,7.7e-07
0.458,2.46,1.96e-07
0.474,2.44,1.91e-07
0.494,2.43,1.3e-07
0.514,2.41,8.21e-08
0.532,2.4,6.59e-08
0.565,2.38,2e-08
0.585,2.37,3.64e-10
0.601,2.36,9.7e-09
0.615,2.36,1.2e-08
0.631,2.35,2e-08
0.65,2.35,2e-08
0.665,2.34,2e-08
0.677,2.34,2e-08
0.691,2.33,2e-08
0.727,2.33,2e-08
0.74,2.32,2e-08
0.788,2.32,2e-08
0.804,2.31,2e-08
0.855,2.31,2e-08
0.873,2.3,2e-08
0.966,2.3,2e-08
0.981,2.29,2e-08
1.1,2.29,2e-08
1.5,2.27,2e-08
2.01,2.27,2e-08
2.18,2.26,2e-08
3.49,2.26,2e-08
3.7,2.25,2e-08
5.08,2.25,2e-08
5.31,2.24,2e-08
6.48,2.24,2e-08
6.66,2.23,2e-08
7.67,2.23,2e-08
7.9,2.22,2e-08
9.32,2.22,2e-08
9.53,2.21,2e-08
9.77,2.21,2.58e-07
10,2.2,1.77e-06
10.4,2.2,7.52e-06
10.5,2.19,1.04e-05
10.6,2.19,1.65e-05
11,2.19,2.68e-05
11.1,2.18,2.96e-05
11.7,2.18,2.39e-05
11.8,2.17,2.34e-05
12.2,2.17,4.295e-05
