wavelength_um,n,k
0.5,2.693,1.52249e-05
0.52,2.65,1.59409e-05
0.54,2.62,1.66274e-05
0.56,2.596,1.73013e-05
0.6,2.56,1.86228e-05
0.66,2.528,2.05481e-05
0.84,2.47,2.62217e-05
0.9,2.464,2.80551e-05
0.98,2.461,3.04652e-05
1,2.46,1e-08
1.62,2.439,1e-08
2.2,2.425,1e-08
3.268,2.413,1e-08
3.4014,2.416,1e-08
3.5461,2.413,1e-08
4,2.416,1e-08
4.0323,2.414,1e-08
4.0984,2.417,1e-08
4.4643,2.416,1e-08
4.5045,2.415,7.52098e-09
4.6729,2.415,1.7438e-08
4.9505,2.415,2.07509e-08
5.2083,2.415,9.35753e-09
5.2632,2.415,5.22681e-09
5.3191,2.415,4.2974e-10
5.3763,2.415,1e-08
7.8125,2.407,1e-08
7.9365,2.406,1.1052e-08
8.3333,2.405,1.0787e-07
8.4746,2.404,1.75126e-07
9.0909,2.401,4.60221e-07
10.6383,2.395,9.5709e-07
12.1951,2.387,5.25265e-07
12.8205,2.382,6.18434e-07
14.2857,2.369,3.29985e-06
14.7059,2.366,8.09852e-06
15.1515,2.362,1.82093e-05
16.129,2.351,5.05995e-05
17.8571,2.328,8.28716e-05
18.5185,2.317,0.000104195
20,2.291,0.000406593
21.7391,2.257,0.001281465
